Банк;Процент на остаток;Накопительный счет;Баллы или кешбек;Годовое обслуживание
ВТБ;нет;до 16%;до 15%;0–47 880 ₽
Московский кредитный банк (МКБ);нет;до 3.5%;до 3000/мес.;0–1 188 ₽
Альфа-Банк;нет;до 15%;до 50000;0–35 880 ₽
ОТП Банк;нет;нет;до 3000/мес.;бесплатно
ГЕНБАНК;до 3.5%;до 9%;до 10%;бесплатно
БКС Банк;нет;до 10%;до 20000/мес.;0–72 000 ₽
Банк Синара;нет;до 15%;до 3000/мес.;бесплатно
Сбербанк;нет;до 13%;до 15000/мес.;бесплатно
Т-Банк;нет;до 7%;до 15%;1 990–3 588 ₽
Газпромбанк;нет;до 15.5%;до 20000/мес.;0–35 880 ₽
ПСБ;нет;до 14%;до 5000/мес.;бесплатно
Райффайзен Банк;нет;нет;есть;0–30 000 ₽
Россельхозбанк;нет;до 14%;до 15000/мес.;бесплатно
Совкомбанк;до 15%;до 16%;нет;бесплатно
Уралсиб;до 12.5%;до 11%;до 3000/мес.;бесплатно
